epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,2088.02,1.0438,0.44465,0.87842,0.97229,0.9868,0.995,0.59786,1.42459,0.50053,0.87692,0.000215664,0.000215664,0.000215664
143,2102.26,1.04613,0.45383,0.87461,0.97681,0.98941,0.995,0.61007,1.40988,0.48149,0.87406,0.000212129,0.000212129,0.000212129
144,2116.83,1.03511,0.45166,0.8738,0.98367,0.99375,0.995,0.6206,1.3878,0.48618,0.87073,0.000208595,0.000208595,0.000208595
145,2131.75,1.04539,0.44845,0.87564,0.97794,1,0.995,0.60936,1.4222,0.48811,0.87064,0.000205061,0.000205061,0.000205061
146,2146.77,1.04087,0.44953,0.86879,0.97951,1,0.995,0.60793,1.4282,0.47927,0.87275,0.000201527,0.000201527,0.000201527
147,2161.68,1.04773,0.44713,0.87385,0.96769,1,0.995,0.6124,1.39755,0.49781,0.87339,0.000197992,0.000197992,0.000197992
148,2176.31,1.03687,0.44413,0.87163,0.98373,1,0.995,0.59292,1.41575,0.49017,0.87049,0.000194458,0.000194458,0.000194458
149,2190.96,1.02622,0.4433,0.87134,0.98376,1,0.995,0.61422,1.39403,0.49744,0.86626,0.000190924,0.000190924,0.000190924
150,2205.65,1.04619,0.4425,0.87531,0.97689,1,0.995,0.60817,1.42655,0.47994,0.8749,0.000187389,0.000187389,0.000187389
151,2220.68,1.03393,0.44438,0.87387,0.97683,1,0.995,0.6156,1.41744,0.49613,0.87531,0.000183855,0.000183855,0.000183855
152,2235.4,1.0253,0.44127,0.87016,0.95232,1,0.995,0.59136,1.38845,0.51041,0.86996,0.000180321,0.000180321,0.000180321
153,2250.22,1.03018,0.43735,0.87158,0.97193,1,0.995,0.60146,1.42257,0.49424,0.87534,0.000176786,0.000176786,0.000176786
154,2265.01,1.03378,0.44726,0.87146,0.97038,1,0.995,0.61329,1.40821,0.4801,0.8728,0.000173252,0.000173252,0.000173252
155,2279.69,1.04052,0.44313,0.87535,0.97343,1,0.995,0.62755,1.39481,0.48974,0.87297,0.000169718,0.000169718,0.000169718
156,2294.49,1.01704,0.43477,0.87123,0.97546,1,0.995,0.62121,1.41372,0.47964,0.87827,0.000166183,0.000166183,0.000166183
157,2309.24,1.0284,0.43919,0.87217,0.97613,1,0.995,0.61515,1.41937,0.49893,0.87783,0.000162649,0.000162649,0.000162649
158,2324.02,1.02665,0.4409,0.86903,0.97497,1,0.995,0.61918,1.39749,0.48884,0.87415,0.000159115,0.000159115,0.000159115
159,2338.96,1.02713,0.44217,0.87469,0.98325,1,0.995,0.61637,1.40801,0.50087,0.8754,0.000155581,0.000155581,0.000155581
160,2353.48,1.02093,0.43456,0.87056,0.98427,1,0.995,0.61802,1.39993,0.4884,0.87551,0.000152046,0.000152046,0.000152046
161,2368.27,1.00944,0.43969,0.86618,0.97722,1,0.995,0.61399,1.38198,0.49292,0.87,0.000148512,0.000148512,0.000148512
162,2382.93,1.03001,0.44337,0.8677,0.98781,1,0.995,0.62312,1.39067,0.48683,0.87102,0.000144978,0.000144978,0.000144978
163,2397.58,1.01977,0.43677,0.87195,0.98624,1,0.995,0.63618,1.38999,0.49172,0.87005,0.000141443,0.000141443,0.000141443
164,2412.3,1.01174,0.43354,0.86916,0.98855,1,0.995,0.63337,1.39195,0.48066,0.86912,0.000137909,0.000137909,0.000137909
165,2426.94,1.02648,0.43514,0.87678,0.98563,1,0.995,0.6199,1.41863,0.47449,0.87202,0.000134375,0.000134375,0.000134375
166,2441.75,1.01153,0.42823,0.87369,0.98698,1,0.995,0.61773,1.40394,0.46319,0.86886,0.000130841,0.000130841,0.000130841
167,2456.37,1.00974,0.42933,0.86665,0.98562,1,0.995,0.61582,1.38728,0.47957,0.86759,0.000127306,0.000127306,0.000127306
168,2470.76,1.01051,0.42899,0.86831,0.98274,1,0.995,0.63041,1.39557,0.47801,0.86785,0.000123772,0.000123772,0.000123772
169,2485.45,1.02363,0.43455,0.87324,0.98219,1,0.995,0.61604,1.39938,0.48767,0.86945,0.000120238,0.000120238,0.000120238
170,2500.05,1.01017,0.42841,0.87082,0.98478,1,0.995,0.63705,1.38853,0.4788,0.87079,0.000116703,0.000116703,0.000116703
171,2514.73,1.0028,0.43423,0.86833,0.98711,1,0.995,0.6118,1.40226,0.48988,0.87113,0.000113169,0.000113169,0.000113169
172,2529.47,1.00097,0.42455,0.86947,0.98738,1,0.995,0.601,1.39281,0.4897,0.87013,0.000109635,0.000109635,0.000109635
173,2544.12,1.03281,0.43416,0.87307,0.98623,1,0.995,0.61351,1.39019,0.48708,0.8682,0.0001061,0.0001061,0.0001061
174,2558.85,1.01147,0.42944,0.87127,0.98269,1,0.995,0.62403,1.39109,0.49063,0.87181,0.000102566,0.000102566,0.000102566
175,2573.57,0.99919,0.42352,0.86527,0.97838,1,0.995,0.61415,1.4026,0.49774,0.87145,9.90318e-05,9.90318e-05,9.90318e-05
176,2588.3,0.99714,0.42639,0.8687,0.98178,1,0.995,0.60981,1.39112,0.48357,0.86934,9.54975e-05,9.54975e-05,9.54975e-05
177,2603.03,0.99997,0.42598,0.86651,0.97999,1,0.995,0.61177,1.39326,0.48353,0.87082,9.19632e-05,9.19632e-05,9.19632e-05
178,2617.83,1.01452,0.42835,0.8722,0.97909,1,0.995,0.61248,1.39047,0.47577,0.86895,8.84289e-05,8.84289e-05,8.84289e-05
179,2632.61,1.00202,0.42234,0.86771,0.97895,1,0.995,0.61928,1.38244,0.4828,0.86715,8.48946e-05,8.48946e-05,8.48946e-05
180,2647.34,1.00947,0.43059,0.86998,0.98047,1,0.995,0.61665,1.39844,0.47627,0.86955,8.13603e-05,8.13603e-05,8.13603e-05
181,2662.05,1.00867,0.42853,0.86551,0.9846,1,0.995,0.61726,1.39654,0.48493,0.86763,7.7826e-05,7.7826e-05,7.7826e-05
182,2677.05,1.0013,0.42254,0.86669,0.98382,1,0.995,0.61309,1.41059,0.48996,0.86963,7.42917e-05,7.42917e-05,7.42917e-05
183,2692.2,1.00324,0.42521,0.86388,0.97996,1,0.995,0.62749,1.38836,0.48189,0.86717,7.07574e-05,7.07574e-05,7.07574e-05
184,2707.36,0.99997,0.42334,0.86685,0.97916,1,0.995,0.62273,1.38198,0.48189,0.86744,6.72231e-05,6.72231e-05,6.72231e-05
185,2722.03,0.98684,0.41914,0.86641,0.97889,1,0.995,0.62667,1.38277,0.48554,0.86773,6.36888e-05,6.36888e-05,6.36888e-05
186,2736.69,0.98884,0.42031,0.87052,0.97656,1,0.995,0.62237,1.3774,0.47272,0.86288,6.01545e-05,6.01545e-05,6.01545e-05
187,2751.24,0.98605,0.42024,0.86439,0.98105,1,0.995,0.6281,1.38753,0.47228,0.86508,5.66202e-05,5.66202e-05,5.66202e-05
188,2765.83,0.99525,0.41609,0.8704,0.97967,1,0.995,0.60943,1.39554,0.47678,0.86707,5.30859e-05,5.30859e-05,5.30859e-05
