epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,2325.58,0.98488,0.41254,0.86046,0.98158,0.99361,0.995,0.61487,1.3846,0.46056,0.86896,0.000233335,0.000233335,0.000233335
138,2342.57,0.9918,0.4147,0.86406,0.98395,0.98761,0.995,0.62599,1.37209,0.46383,0.86851,0.000229801,0.000229801,0.000229801
139,2359.46,0.97584,0.40917,0.86518,0.98051,0.99258,0.995,0.62657,1.4129,0.46571,0.87241,0.000226267,0.000226267,0.000226267
140,2376.36,0.97964,0.4093,0.86338,0.98678,1,0.995,0.63323,1.36876,0.45335,0.8692,0.000222732,0.000222732,0.000222732
141,2393.31,0.96145,0.40701,0.85923,0.98703,1,0.995,0.64103,1.38425,0.45813,0.86974,0.000219198,0.000219198,0.000219198
142,2410.25,0.97321,0.40056,0.86498,0.98804,1,0.995,0.62551,1.38672,0.4571,0.86863,0.000215664,0.000215664,0.000215664
143,2427.31,0.97573,0.41688,0.86174,0.98458,1,0.995,0.61873,1.37883,0.44663,0.86841,0.000212129,0.000212129,0.000212129
144,2444.16,0.96163,0.40396,0.85942,0.98756,1,0.995,0.63815,1.3857,0.45456,0.87032,0.000208595,0.000208595,0.000208595
145,2461.09,0.97375,0.40633,0.86344,0.99587,1,0.995,0.6331,1.39484,0.46615,0.87154,0.000205061,0.000205061,0.000205061
146,2478.1,0.9639,0.40648,0.85657,0.98825,0.99648,0.995,0.62541,1.41363,0.45209,0.87315,0.000201527,0.000201527,0.000201527
